?element_size,?max_von_mises_stress
3.125E-3,2.997833533485087E8
6.25E-3,2.9947543293036866E8
1.25E-2,3.001296187137937E8
2.5E-2,2.997915075586333E8
5.0E-2,2.9601147874885035E8
1.0E-1,2.731909343950996E8
5.0E-1,3.0175130594987875E8
